jobId,jobTitle,jobClassification,jobCompany
28451,UI Developer,ui/ux,Twinsway Technologies Pvt Ltd
28903,Project Manager,business administation,POLUS SOFTWARE PVT LTD
28902,Junior Python Developer,backend,REDEEMER TECHNOLOGIES PVT LTD
28901,Business Development Executive,business administation,REDEEMER TECHNOLOGIES PVT LTD
28900,Functional Safety Engineer,other,Xpetize Technology Solutions Private Limited
28892,Netsuite QA,testing,Skywalk Global India Private Limited
28890,Data Entry Clerk,data entry / seo,Incredible Visibility Solutions Private Limited
28889,Online Market Research Analyst,marketing,Incredible Visibility Solutions Private Limited
28888,Technical Content Writer with Web Development/IT Skills,other,Webential Digilab Pvt Ltd.
28887,Dot Net Developer,backend,POLUS SOFTWARE PVT LTD
28886,UI Developer,ui/ux,Mozanta Technologies Private Limited
28885,Technical Architect,architect,Mozanta Technologies Private Limited
28884,Business Analyst,business analyst,Mozanta Technologies Private Limited
28883,Java / Full Stack Developer - Microservices,fullstack,Mozanta Technologies Private Limited
28882,Software Engineer,software engineer,Kameda Infologics Pvt Ltd
28881,Node JS Developer,backend,Azinova Technologies Pvt Ltd
28880,Business Development Executives,business administation,EXORBITANT SYSTEM SOLUTIONS INDIA PVT LTD
28878,Dot Net Developer,backend,LAW QUBE TECHNOLOGIES PVT LTD
28877,Mobile Developer / React Native Developer,mobile,Skywalk Global India Private Limited
28874,Lead- Testing Service,teaching,Travanleo Info Solutions India Private Limited
28873,Angular Developer,frontend,Azinova Technologies Pvt Ltd
28871,Senior .Net Developer,backend,Reflections Info Systems Pvt Ltd
28870,Business Analyst,business analyst,Reflections Info Systems Pvt Ltd
28869,Delivery Head,business administation,Reflections Info Systems Pvt Ltd
28868,Python Developer,backend,Reflections Info Systems Pvt Ltd
28867,Salesforce Lead,other,Reflections Info Systems Pvt Ltd
28865,Software Analyst,business analyst,Yarab Technologies Private Limited
28864,React JS Lead,frontend,Experion Technologies (I) Pvt Ltd
28863,TechLead / Architect,architect,Experion Technologies (I) Pvt Ltd
28861,LINUX ADMINISTRATOR,system administration,E TEAM INFORMATICA INDIA PRIVATE LIMITED
28857,IOS SWIFT DEVELOPERS,mobile,Enfin Technologies India Pvt. Ltd.
28855,PHP Developer(Codeigniter),backend,Enfin Technologies India Pvt. Ltd.
28853,Android Developer,mobile,Enfin Technologies India Pvt. Ltd.
28852,Android (Kotlin) Developer,mobile,Enfin Technologies India Pvt. Ltd.
28851,React Js Developer,frontend,Enfin Technologies India Pvt. Ltd.
28850,Automation Test Engineer,teaching,Enfin Technologies India Pvt. Ltd.
28849,SAP UI5 Developer,software engineer,Fingent Technology Solutions Private Limited
28848,App Store Optimization(ASO) Specialist,other,Way Dot Com Private Limited
28847,Technical Support Executive - Trainee,system administration,Phykon Solutions Private Limited
28846,Magento Developer,backend,Attinad Software Private Limited
28845,Oracle CRM Techno Functional,software engineer,Xpetize Technology Solutions Private Limited
28844,Senior UI/UX Designer,ui/ux,SRS Global Technologies Pvt Ltd
28843,Junior Android Developer,mobile,Softnotions Technologies Pvt Ltd
28842,Junior PHP Developer,backend,Softnotions Technologies Pvt Ltd
28840,UI Developer(Angular / Ionic),frontend,Neonicz Software Solutions Pvt Ltd
28839,IT RECRUITER,business administation,REIZEND IT CONSULTANTS
28837,Sr. Software Engineer (Contract Basis),software engineer,Yarab Technologies Private Limited
28836,Website Administrator,data entry / seo,Webential Digilab Pvt Ltd.
28835,Netsuite Functional Consultant,other,Skywalk Global India Private Limited
28834,Sr QA/Testing Engineer,testing,Incredible Visibility Solutions Private Limited
28828,Delphi/ VB6/ Desktop application developer,software engineer,Xminds Infotech Pvt Ltd
28826,iOS Developer,mobile,Zoondia Software Private  Limited.
28825,WordPress Developer with SEO Skills,data entry / seo,M Squared Software & Services (P) Ltd.
28824,Linux Adminstrator,system administration,E TEAM INFORMATICA INDIA PRIVATE LIMITED
28823,Installaion Executive,system administration,M Squared Software & Services (P) Ltd.
28822,PHP Developer,backend,M Squared Software & Services (P) Ltd.
28821,NODE JS DEVELOPER,backend,Spericorn Technology Private Limited
28820,DIGITAL MARKETING EXECUTIVE,marketing,Spericorn Technology Private Limited
28819,Quality Assurance Analyst,testing,Xilligence
28817,Network Engineer - Cisco,network engineer,E TEAM INFORMATICA INDIA PRIVATE LIMITED
28816,HR Executive,business administation,Skywalk Global India Private Limited
28815,Sales Manager - SAAS,marketing,UPSKILL INNOVATIVE SOLUTIONS PRIVATE LIMITED
28812,Executive Assistant with technology background,business administation,Incredible Visibility Solutions Private Limited
28811,Sales Representative / Executive For Software & Web,marketing,Incredible Visibility Solutions Private Limited
28810,Test Engineer,testing,PIT Solutions Pvt Ltd
28809,AWS DevOps Engineer,devops,Binary Fountain Solutions India Pvt Ltd
28807,Senior Dot Net Developer,backend,Srishti Innovative Computer Systems Pvt Ltd
28804,UI Designer,ui/ux,Servntire Global Private Limited
28803,Senior Business Sales Executive,marketing,Way Dot Com Private Limited
28800,SAP Cloud Platform Java Consultant,software engineer,InnoVal Digital Solutions Private Limited (IVL)
28796,J2EE Lead,backend,Attinad Software Private Limited
28795,Web Lead,software engineer,Attinad Software Private Limited
28794,Assistant-Finance & Administration,business administation,Tryzens India Pvt Limited
28785,QA Lead,testing,bMuse India Technologies Pvt Ltd
28790,Freshers Hire,other,Testhouse India Pvt. Ltd.
28789,.Net Senior Technical Developer - Full Stack Developer,fullstack,Voldumar Pvt Ltd.
28784,Senior Javascript Developer,backend,bMuse India Technologies Pvt Ltd
28783,Tech Lead,architect,Xpetize Technology Solutions Private Limited
28782,Software Engineer/Sr. Software Engineer (Unity 3D),graphic engine,InApp Information Technologies India Pvt. Ltd.
28781,Data Research and Recruitment Associate,business administation,FoundingMinds Software Pvt Ltd
28775,Angular-Node Developer,fullstack,ByteWave Digital Consultants Pvt Ltd.
28774,Senior Ionic/Angular Developer,frontend,ByteWave Digital Consultants Pvt Ltd.
28772,Creative Content Writer,marketing,MINDLOGUE TECHNOLOGIES LTD
28769,Senior Java Developer,backend,White Oval Technologies Pvt. Ltd.
28766,Junior Software Engineer,software engineer,White Oval Technologies Pvt. Ltd.
28765,UI/UX Designer,ui/ux,TECHVANTAGE SYSTEMS PRIVATE LIMITED
28764,Social Media Manager,marketing,EPICA STUDIO PVT LTD
28763,BUSINESS DEVELOPMENT MANAGER,business administation,Palnar Transmedia Pvt Ltd
28760,BUSINESS DEVELOPMENT EXECUTIVE,business administation,TRANSORZE INFORMATION PROCESSING SOLUTIONS PVT LTD
28762,Creative Video Content Creator,graphic design,Green Orchid Software Solutions Pvt Ltd
28761,BUSINESS STRATEGIC EXECUTIVE,business administation,TRANSORZE INFORMATION PROCESSING SOLUTIONS PVT LTD
28757,.NET Lead,backend,Attinad Software Private Limited
28753,Odoo Developer,software engineer,Phykon Solutions Private Limited
28752,"Frontend Developer - JavaScript, Html and CSS/LESS",frontend,AdroitMinds Software Labs
28751,Sr. ASP.NET Developer,backend,AdroitMinds Software Labs
28750,UX/UI Lead,ui/ux,AdroitMinds Software Labs
28747,Personal Assistant (operatios),business administation,SOPETEL TECHNOLOGIES Pvt Ltd
28746,ANGULAR (IONIC) DEVELOPER,frontend,Spericorn Technology Private Limited
28745,RUBY ON RAILS DEVELOPER,backend,Spericorn Technology Private Limited
28743,Sr. PHP Developer,backend,Yarab Technologies Private Limited
28740,Python Developer :Data Operations,backend,Navigant BPM (India) Private Limited
28734,Odoo Developer- Lead,software engineer,Phykon Solutions Private Limited
28733,QA Analyst-Lead,testing,UPSKILL INNOVATIVE SOLUTIONS PRIVATE LIMITED
28732,Graphic designer,graphic design,SOPETEL TECHNOLOGIES Pvt Ltd
28730,Dot Net Position,backend,ARS Traffic & Transport Technology India Private Limited
28728,PHP/Laravel Developer,backend,OptioLogic Technologies Pvt. Ltd
28723,Test Engineer,testing,SequoiaAT India Private Limited
28722,JAVASCRIPT ENGINEER,frontend,SequoiaAT India Private Limited
28721,Python Developer,backend,SequoiaAT India Private Limited
28720,IOS Developer,mobile,SequoiaAT India Private Limited
28719,Angular Developer,frontend,SequoiaAT India Private Limited
28718,JAVA ENGINEER,backend,SequoiaAT India Private Limited
28717,Android Developers,mobile,Conscience Business Solutions Pvt. Ltd.
28715,BSW Engineer,other,Xpetize Technology Solutions Private Limited
28713,Assistant Manager: Client Acquisition ( International),business administation,Techversant Infotech Pvt. Ltd.
28712,Team Lead- Node.Js,backend,Techversant Infotech Pvt. Ltd.
28711,Software Engineer/Sr.Software Engineer- Node.Js,backend,Techversant Infotech Pvt. Ltd.
28710,Software Engineer/Senior Software Engineer - React .Js,frontend,Techversant Infotech Pvt. Ltd.
28709,"Software Engineer/ Senior Software Engineer- Moodle (Infopark,Cochin)",software engineer,Techversant Infotech Pvt. Ltd.
28694,Front-End Developer,frontend,Appsiologix Business Solutions Pvt. Ltd.
28708,Associate Business Development Executive-Freshers,business administation,Techversant Infotech Pvt. Ltd.
28707,Associate Software Engineer-PHP,backend,Techversant Infotech Pvt. Ltd.
28706,Associate Software Engineer-Python,backend,Techversant Infotech Pvt. Ltd.
28705,Software Engineer/Sr.Software Engineer/Team Lead-ColdFusion,software engineer,Techversant Infotech Pvt. Ltd.
28704,Software Engineer/Sr.Software Engineer-RoR,backend,Techversant Infotech Pvt. Ltd.
28703,"Team Lead-Python,Django(Job Location: Infopark,Cochin)",backend,Techversant Infotech Pvt. Ltd.
28702,Team Lead-Golang,backend,Techversant Infotech Pvt. Ltd.
28701,Team Lead-Odoo,other,Techversant Infotech Pvt. Ltd.
28700,"Team Lead- PHP (Infopark,Cochin)",backend,Techversant Infotech Pvt. Ltd.
28699,Software Engineer-PHP,backend,Techversant Infotech Pvt. Ltd.
28698,QA Lead,testing,Techversant Infotech Pvt. Ltd.
28697,Software Engineer - Dot Net,backend,POLUS SOFTWARE PVT LTD
28696,PL/SQL Database Developer,database,Appsiologix Business Solutions Pvt. Ltd.
28695,Back-End Developer,backend,Appsiologix Business Solutions Pvt. Ltd.
28686,Sr Java Developer,backend,Travanleo Info Solutions India Private Limited
28675,Client Engineering - MAC,other,Globcom Solutions Pvt Ltd.
28674,Client Engineer - Junior & Senior,other,Globcom Solutions Pvt Ltd.
28673,Service Desk Engineer,business administation,Globcom Solutions Pvt Ltd.
28671,TWS Admin,other,Globcom Solutions Pvt Ltd.
28672,Middleware Engineer,other,Globcom Solutions Pvt Ltd.
28670,Infra Monitoring Engineer,other,Globcom Solutions Pvt Ltd.
28669,SOC Engineer L3 - Senior,other,Globcom Solutions Pvt Ltd.
28668,SOC Engineer L3 - Junior,other,Globcom Solutions Pvt Ltd.
28667,Senior Data Lake Expert,other,Experion Technologies (I) Pvt Ltd
28666,SOC Engineer L2,other,Globcom Solutions Pvt Ltd.
28665,SOC Engineer L1,other,Globcom Solutions Pvt Ltd.
28664,NOC Support L3,network engineer,Globcom Solutions Pvt Ltd.
28663,Senior Python Developer,backend,Experion Technologies (I) Pvt Ltd
28662,NOC Support L2,network engineer,Globcom Solutions Pvt Ltd.
28661,Full Stack Developer,fullstack,AOT TECHNOLOGIES PVT LTD
28660,NOC Engineer L1,network engineer,Globcom Solutions Pvt Ltd.
28659,Salesforce Developer (Immediate Joiners Preferred),software engineer,Experion Technologies (I) Pvt Ltd
28657,Angular Developer,frontend,Palnar Transmedia Pvt Ltd
28656,Front End Developer - Angular,frontend,SCSOFT Technologies Pvt Ltd
28655,Senior Software Engineer- Java,backend,SCSOFT Technologies Pvt Ltd
28654,Database Administrator - PostgreSQL,database,SCSOFT Technologies Pvt Ltd
28653,Senior Software Engineer- Dotnet,backend,SCSOFT Technologies Pvt Ltd
28640,Animation Director,graphic design,Toonz Animation India PVT LTD
28639,Asst. Project Manager,business administation,Toonz Animation India PVT LTD
28638,Project Manager,business administation,Toonz Animation India PVT LTD
28637,Cloud and Systems Engineer,other,Cloudplus Information Technologies Pvt Ltd
28636,IOS Developer -Kollam Technopark,mobile,Incredible Visibility Solutions Private Limited
28635,Android Developer- Kollam Technopark,mobile,Incredible Visibility Solutions Private Limited
28634,Flutter Developer - Kollam Technopark,mobile,Incredible Visibility Solutions Private Limited
28633,MernStack Developer - Technopark Kollam,fullstack,Incredible Visibility Solutions Private Limited
28632,React Native Developer - Kollam Technopark,frontend,Incredible Visibility Solutions Private Limited
28631,Senior React Developer - Kollam Technopark,frontend,Incredible Visibility Solutions Private Limited
28630,Senior React Native Developer,mobile,Incredible Visibility Solutions Private Limited
28614,Asset Manager,other,Toonz Animation India PVT LTD
28613,SEO EXECUTIVE,data entry / seo,M Squared Software & Services (P) Ltd.
28612,Android Developer,mobile,Syntrio Technologies
28609,Ul/UX DESIGNER,ui/ux,SYNCRAYONS TECHNOLOGIES PVT LTD
28608,Dot Net Full Stack Developer,fullstack,Xpetize Technology Solutions Private Limited
28606,React Js Developer,frontend,Enfin Technologies India Pvt. Ltd.
28604,FULL-STACK DEVELOPER(PYTHON AND ANGULAR.JS),fullstack,SYNCRAYONS TECHNOLOGIES PVT LTD
28599,Business Development Associate,business administation,Yarab Technologies Private Limited
28598,TECHNICAL ARCHITECT,architect,Spericorn Technology Private Limited
28597,PROJECT LEAD,architect,Spericorn Technology Private Limited
28596,PYTHON DJANGO DEVELOPER,backend,Spericorn Technology Private Limited
28595,HUMAN RESOURCES MANAGER,business administation,Spericorn Technology Private Limited
28594,HR EXECUTIVE,business administation,Spericorn Technology Private Limited
28593,PHP DEVELOPER,backend,Spericorn Technology Private Limited
28592,ANGULAR (IONIC) DEVELOPER,frontend,Spericorn Technology Private Limited
28590,Apigee Developer,software engineer,Xpetize Technology Solutions Private Limited
28589,Magento Developer,backend,McFadyen Consulting Software India Pvt Ltd
28575,DevOps Engineer,devops,Globcom Solutions Pvt Ltd.
28574,Growth Product Manager,other,Way Dot Com Private Limited
28573,Senior Software Developer- Java,backend,Way Dot Com Private Limited
28572,Senior iOS Developer,mobile,Way Dot Com Private Limited
28571,Content Writing Specialist,other,Way Dot Com Private Limited
28570,Senior UI Front end developer,frontend,Way Dot Com Private Limited
28569,Team Lead- Front end Developer,frontend,Way Dot Com Private Limited
28568,Test Automation Engineers,testing,Way Dot Com Private Limited
28547,WORDPRESS DEVELOPER,backend,SYNCRAYONS TECHNOLOGIES PVT LTD
28546,Project Manager,business administation,Accubits Technologies Private Limited
28544,PRESTASHOP DEVELOPER,other,SYNCRAYONS TECHNOLOGIES PVT LTD
28543,MOBILE APP DEVELOPER,mobile,SYNCRAYONS TECHNOLOGIES PVT LTD
28542,Software Tester,testing,Accubits Technologies Private Limited
28541,Junior Business Analyst,business analyst,Accubits Technologies Private Limited
28540,Android Developer,mobile,Accubits Technologies Private Limited
28538,Angular Developer,frontend,Accubits Technologies Private Limited
28537,Junior NodeJS Developers,backend,Accubits Technologies Private Limited
28531,"Developers, Leads, Architects- ReactJS",frontend,COLLABORATIVE LEARNING LABS PRIVATE LIMITED
28530,"Developers, Leads, Architects- AngularJS",frontend,COLLABORATIVE LEARNING LABS PRIVATE LIMITED
28515,DIGITAL MARKETING EXECUTIVE,marketing,SYNCRAYONS TECHNOLOGIES PVT LTD
28514,Front End Developer: Angular/JavaScript/Mobile Dev,frontend,Travanleo Info Solutions India Private Limited
28485,SOFTWARE ENGINEER TRAINEE,software engineer,ASSURETECH BUSINESS SOLUTIONS PRIVATE LIMITED
28504,Wordpress Developer,backend,TBF Technology Pvt Ltd
28493,Junior Angular Developer,frontend,Neovibe Innovative Technologies (P) Ltd
28486,Mobile App Developer,mobile,ASSURETECH BUSINESS SOLUTIONS PRIVATE LIMITED
28466,Graphic Designer -Kollam Technopark,graphic design,Incredible Visibility Solutions Private Limited
28465,Linux - Technical Support Engineer,system administration,E TEAM INFORMATICA INDIA PRIVATE LIMITED
28448,Full Stack- Sr.Software Engineer,fullstack,Trois Infotech Pvt. Ltd.
28256,MOBILE APP DEVELOPER,mobile,SYNCRAYONS TECHNOLOGIES PVT LTD
